ConsultationID,Date,ConsultantID,ConsultantName,RegionID,StylistID,ClientID,ServiceID,ServiceName,ServiceCategory,ColourSeasonID,MainSeason,RevenueActual_GBP,RevenuePotential_GBP,Status,IsNewClient,NPS_Score,DeliveryMode,Year,MonthNum,MonthName,QuarterYear
CN0000001,2023-01-02,CON001,Sophie Marlowe,RG01,STY001,CL0328,SV03,Colour & Style Combined,Full colour + style analysis. Best value package.,CS10,Winter,410.27,410.27,Completed,Yes,10,In-Person,2023,01,January,Q1 2023
CN0000002,2023-01-02,CON001,Sophie Marlowe,RG01,STY002,CL2849,SV11,Corporate Image Workshop,Workplace image & colour session. Per person.,CS10,Winter,160.95,160.95,Completed,No,8,In-Person,2023,01,January,Q1 2023
CN0000003,2023-01-02,CON002,Emma Patel,RG02,STY005,CL2342,SV06,Personal Shopping,Guided shopping trip with stylist.,CS12,Winter,288.12,288.12,Completed,No,9,In-Person,2023,01,January,Q1 2023
CN0000004,2023-01-02,CON003,Claire Hughes,RG03,STY009,CL2100,SV01,Colour Analysis,Full 2-hour colour draping. Season & sub-season identified. Colour Fan included.,CS11,Winter,301.43,301.43,Completed,Yes,8,In-Person,2023,01,January,Q1 2023
CN0000005,2023-01-02,CON003,Claire Hughes,RG03,STY007,CL0496,SV01,Colour Analysis,Full 2-hour colour draping. Season & sub-season identified. Colour Fan included.,CS10,Winter,284.08,284.08,Completed,No,8,In-Person,2023,01,January,Q1 2023
CN0000006,2023-01-02,CON004,Lisa Carter,RG04,STY012,CL2622,SV02,Style Analysis,"Most flattering shapes, lines, textures for body type.",CS08,Autumn,199.2,199.2,Completed,No,7,In-Person,2023,01,January,Q1 2023
CN0000007,2023-01-02,CON005,Sarah Walsh,RG05,STY017,CL1267,SV03,Colour & Style Combined,Full colour + style analysis. Best value package.,CS09,Autumn,424.86,424.86,Completed,No,9,In-Person,2023,01,January,Q1 2023
CN0000008,2023-01-02,CON005,Sarah Walsh,RG05,STY015,CL0365,SV02,Style Analysis,"Most flattering shapes, lines, textures for body type.",CS07,Autumn,195.43,195.43,Completed,Yes,10,In-Person,2023,01,January,Q1 2023
CN0000009,2023-01-02,CON006,Anna Singh,RG06,STY019,CL1666,SV01,Colour Analysis,Full 2-hour colour draping. Season & sub-season identified. Colour Fan included.,CS04,Summer,282.59,282.59,Completed,No,8,In-Person,2023,01,January,Q1 2023
CN0000010,2023-01-02,CON006,Anna Singh,RG06,STY019,CL1116,SV03,Colour & Style Combined,Full colour + style analysis. Best value package.,CS10,Winter,0,429.66,No-Show,No,,In-Person,2023,01,January,Q1 2023
CN0000011,2023-01-02,CON006,Anna Singh,RG06,STY019,CL2601,SV01,Colour Analysis,Full 2-hour colour draping. Season & sub-season identified. Colour Fan included.,CS10,Winter,275.49,275.49,Completed,Yes,8,In-Person,2023,01,January,Q1 2023
